SearchDate,MonthYear,Institution,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total
Jun-18,06-2018,NKSP,20,0,0,1,3,1,0,0,0,0,25
Jun-18,06-2018,PBSP,2,0,0,1,0,0,0,0,0,0,3
Jun-18,06-2018,PVSP,9,0,0,6,2,3,1,0,0,0,21
Jun-18,06-2018,RJD,5,0,0,10,8,11,3,0,0,0,37
Jun-18,06-2018,SAC,47,0,0,4,0,2,4,0,0,0,57
Jun-18,06-2018,SATF,21,0,0,1,2,1,3,0,0,0,28
Jun-18,06-2018,SCC,52,0,0,2,4,4,9,0,0,0,71
Jun-18,06-2018,SOL,50,0,0,4,5,2,1,2,0,0,64
Jun-18,06-2018,SQ,30,0,0,13,16,11,10,0,0,0,80
Jun-18,06-2018,SVSP,36,1,0,5,10,8,5,1,0,0,66
Jun-18,06-2018,VSP,5,0,0,2,0,1,1,0,0,0,9
Jun-18,06-2018,WSP,13,0,0,0,0,1,5,0,0,0,19
Jul-18,07-2018,ASP,2,0,0,2,1,1,0,0,0,0,6
Jul-18,07-2018,CAC,29,0,0,1,0,0,0,0,0,0,30
Jul-18,07-2018,CAL,31,1,0,4,1,3,0,1,0,0,41
Jul-18,07-2018,CCC,29,0,0,1,4,0,0,0,0,0,34
Jul-18,07-2018,CCI,2,0,0,2,0,2,1,0,0,0,7
Jul-18,07-2018,CCWF,4,0,0,4,0,1,0,0,0,0,9
Jul-18,07-2018,CEN,24,0,0,14,9,10,3,0,0,0,60
Jul-18,07-2018,CHCF,8,0,0,0,3,4,1,0,0,0,16
Jul-18,07-2018,CIM,5,0,0,1,0,3,0,0,0,0,9
Jul-18,07-2018,CIW,0,0,0,0,0,3,0,0,0,0,3
Jul-18,07-2018,CMC,11,0,0,3,1,1,5,0,0,0,21
Jul-18,07-2018,CMF,11,0,0,4,3,3,0,0,0,0,21
Jul-18,07-2018,COR,21,0,0,1,8,2,5,0,0,0,37
Jul-18,07-2018,CRC,1,0,0,2,9,0,1,0,0,0,13
Jul-18,07-2018,CTF,17,0,0,1,1,1,0,0,0,0,20
Jul-18,07-2018,CVSP,0,0,0,0,0,0,1,0,0,0,1
Jul-18,07-2018,DVI,3,0,0,2,2,2,0,0,0,0,9
Jul-18,07-2018,FOL,16,0,0,1,7,1,7,0,0,0,32
Jul-18,07-2018,HDSP,9,0,0,2,4,3,0,2,0,0,20
Jul-18,07-2018,ISP,9,0,0,5,0,0,0,0,0,0,14
Jul-18,07-2018,KVSP,24,0,0,3,3,11,0,0,0,0,41
Jul-18,07-2018,LAC,44,0,0,6,6,3,1,1,0,0,61
Jul-18,07-2018,MCSP,6,0,0,2,7,1,1,1,0,0,18
Jul-18,07-2018,NKSP,28,0,0,2,2,2,0,0,0,0,34
Jul-18,07-2018,PBSP,1,0,0,0,1,0,0,0,0,0,2
Jul-18,07-2018,PVSP,1,0,0,2,0,2,0,2,0,0,7
Jul-18,07-2018,RJD,10,0,0,2,8,6,4,0,0,0,30
Jul-18,07-2018,SAC,23,0,0,7,7,3,3,0,0,0,43
Jul-18,07-2018,SATF,18,0,0,4,3,2,3,0,0,0,30
Jul-18,07-2018,SCC,42,0,0,1,2,11,5,0,0,0,61
Jul-18,07-2018,SOL,30,0,0,1,9,4,1,1,0,0,46
